names,prices,ratings,totalratings,restypes,areas,offers
"Wrapped - Wraps, Sandwiches & Burgers",4.250+ ratings-- MINSDelivery Time₹ 200Cost for two,4.250+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,"Indian, Continental, Italian, Fast Food","Road Number 10, Venkatagiri, Jubilee Hills, Madhapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY
CakeLush,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 7:30 am, tomorrowBakery, Desserts","Madhapur, Madhapur",
The Daily Diner,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"Home Food, North Indian, South Indian","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Desi Tadka,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowIndian","Arunodaya Colony Near Durgam Cheruvu Metro Station pillar number 1753, Madhapur",
Sarvi Take Away,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 250Cost for two,1000+ ratings,"Biryani, North Indian, Mughlai","Hi-tech city road, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
k3 khane ka khazana,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian","Hitech city madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Mirchis,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowAndhra, Biryani, North Indian, South Indian","Huda Techno Enclave, Madhapur",
TUNDEY KABABI,3.550+ ratings-- MINSDelivery Time₹ 300Cost for two,3.550+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,"Mughlai, Indian, Biryani","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Chai Point,4.31000+ ratings-- MINSDelivery Time₹ 150Cost for two,4.31000+ ratings-- MINSDelivery Time₹ 150Cost for two,1000+ ratings,"Bakery, Cafe, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Fast Food","Hitec City, Madhapur",Offer50% off up to ₹100 | Use code SWIGGYIT
GRILL D BOX,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, South Indian","Ayyappa society, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Good morning,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 5 pm, todaySouth Indian","Madhapur, Madhapur",
Eat Confetti,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowBakery, Desserts, Snacks","Madhapur, Madhapur",
Yummpy's Rolls n Burgers,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,Restaurant ClosedNorth Indian,"Madhapur, Madhapur",
MAD & Co,4.150+ ratings-- MINSDelivery Time₹ 200Cost for two,4.150+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,"Beverages, Desserts, American, Thai","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹600 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Padma Food Court,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,--Too Few RatingsClosedFor Delivery₹ 100Cost for two,Too Few Ratings,"Opens next at 10 am, tomorrowSouth Indian","Madhapur, Madhapur",
Bakingo,4.1500+ ratings-- MINSDelivery Time₹ 300Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,"Bakery, Desserts","Hyderabad, Madhapur",Offer20% off up to ₹300 on orders above ₹1000 | Use code PARTY40% off up to ₹80 | Use code SWIGGYIT
Homely fit,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"South Indian, North Indian, Healthy Food, Keto, Beverages","Madhapur, Madhapur",Offer40% off up to ₹120| Use code HHTRUST
Biryani Times,4.2100+ ratings-- MINSDelivery Time₹ 400Cost for two,4.2100+ ratings-- MINSDelivery Time₹ 400Cost for two,100+ ratings,"Chinese, Desserts, Beverages","Madhapur, Madhapur",
Jar cake walker's,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 9 am, tomorrowBakery, Desserts","Madhapur, Madhapur",Offer40% off on all orders
the chef,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian","Madhapur, Madhapur",
Parampara-'The Mithai Shop',3.020+ ratings-- MINSDelivery Time₹ 300Cost for two,3.020+ ratings-- MINSDelivery Time₹ 300Cost for two,20+ ratings,"Desserts, Sweets","Madhapur, Madhapur",
Burger King,4.3500+ ratings-- MINSDelivery Time₹ 350Cost for two,4.3500+ ratings-- MINSDelivery Time₹ 350Cost for two,500+ ratings,"American, Fast Food","Inorbit Mall, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT50% off up to ₹100 on select items | Use code SPECIALS
Vada Pav & more,2.9100+ ratings-- MINSDelivery Time₹ 200Cost for two,2.9100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Fast Food, Snacks","Madhapur, Madhapur",Offer60% off up to ₹120 | Use code DEAL6050% off up to ₹100 | Use code TRYNEW
TEAL ROOM CAFE,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Chinese, Continental, Italian-American","Madhapur, Madhapur",
Khichdi Express,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,3.8100+ ratings-- MINSDelivery Time₹ 250Cost for two,100+ ratings,"North Indian, Fast Food, Home Food","Megha Hills, Madhapur",Offer60% off up to ₹120 | Use code DEAL60
THE CHICKEN COMPANY,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Pizzas, Indian","Madhapur, Madhapur",
The chef,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,Too Few Ratings,"Opens next at 7 am, tomorrowIndian","Madhapur, Madhapur",
Keshav Reddy Sweets,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,4.3500+ ratings-- MINSDelivery Time₹ 150Cost for two,500+ ratings,"Sweets, Bakery, Desserts, Fast Food, Street Food, Chaat","Hitech City Main Road, Madhapur",
Indiana Burgers,3.9100+ ratings-- MINSDelivery Time₹ 150Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 150Cost for two,100+ ratings,"Fast Food, American","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Chaska Lunch Home,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"Maharashtrian, North Indian","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
WarmOven Cake & Desserts,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.1100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Bakery, Desserts, Ice Cream","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Haka,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,"Chinese, Asian, Seafood","Hitech City Road, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Pulav's and Curries,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 500Cost for two,Too Few Ratings,Indian,"Madhapur, Madhapur",
My Chef,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowIndian, Chinese","60 feet rd, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
McCafe by McDonald's,4.320+ ratings-- MINSDelivery Time₹ 250Cost for two,4.320+ ratings-- MINSDelivery Time₹ 250Cost for two,20+ ratings,"Cafe, Beverages, Desserts","Hitech City, Madhapur",
Chinese Cornerz,3.920+ ratingsClosedFor Delivery₹ 300Cost for two,3.920+ ratingsClosedFor Delivery₹ 300Cost for two,20+ ratings,"Opens next at 6 pm, tomorrowChinese, Fast Food","Ayyappa Society, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Dostea,4.7100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.7100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Cafe, Fast Food","Road no. 56, Ayyappa Society, Madhapur",
FAMOUS ARABIAN SHAWARMA,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowIndian","Madhapur, Madhapur",
TGrill,3.420+ ratings-- MINSDelivery Time₹ 450Cost for two,3.420+ ratings-- MINSDelivery Time₹ 450Cost for two,20+ ratings,"North Indian, Andhra, Biryani, Chinese, Tandoor, Haleem","Road No:36, Madhapur",Offer10% off up to ₹300 on orders above ₹600 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
Sree Sai Manikantha Mess,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, South Indian","Madhapur, Madhapur",
 Kesariya's Sweets and Chaat,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"North Indian, Biryani, Desserts, Chaat, Sweets","kavuri hills phase 1, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Tea Time,2.920+ ratings-- MINSDelivery Time₹ 150Cost for two,2.920+ ratings-- MINSDelivery Time₹ 150Cost for two,20+ ratings,Fast Food,"Ayyappa society, Madhapur",
Burgers Buzz,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowContinental, Italian, Pizzas, Beverages, American, Pastas, Combo, Indian, Snacks","Madhapur, Madhapur",Offer20% off up to ₹50 | Use code SWIGGYIT
Treats,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 250Cost for two,Too Few Ratings,"Beverages, Fast Food, Italian","Ayyappa Society, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Coconut Juice Bar,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.5100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"Indian, Healthy Food","Madhapur, Madhapur",Offer20% off up to ₹300 on orders above ₹1000 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
La Pino'z Pizza,4.0500+ ratings-- MINSDelivery Time₹ 200Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 200Cost for two,500+ ratings,Pizzas,"Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Lassi Shop,4.350+ ratings-- MINSDelivery Time₹ 150Cost for two,4.350+ ratings-- MINSDelivery Time₹ 150Cost for two,50+ ratings,Beverages,"Image Hospital lane, Madhapur",
The Westin,3.950+ ratings-- MINSDelivery Time₹ 1000Cost for two,3.950+ ratings-- MINSDelivery Time₹ 1000Cost for two,50+ ratings,"Indian, Continental, Biryani, Desserts, Beverages","Madhapur and Jubilee Hills, Madhapur",Offer25% off up to ₹125 on orders above ₹500 | Use code JUMBO50% off up to ₹100 | Use code TRYNEW
Aritaku Tiffins & Restaurant,3.9500+ ratings-- MINSDelivery Time₹ 150Cost for two,3.9500+ ratings-- MINSDelivery Time₹ 150Cost for two,500+ ratings,South Indian,"Madhapur, Madhapur",Offer₹30 off on orders above ₹200
Desi Way,3.7100+ ratingsClosedFor Delivery₹ 400Cost for two,3.7100+ ratingsClosedFor Delivery₹ 400Cost for two,100+ ratings,"Restaurant ClosedSouth Indian, North Indian","VIP hills silicon valley, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Wow! Momo,4.3100+ ratings-- MINSDelivery Time₹ 300Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,"Tibetan, Fast Food, Chinese, Snacks, Continental, Desserts","VIP Hills, Madhapur",Offer50% off up to ₹100 on select items | Use code SPECIALS
Gunpowder Idli,4.150+ ratings-- MINSDelivery Time₹ 300Cost for two,4.150+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,South Indian,"Madhapur, Madhapur",Offer60% off up to ₹120 | Use code DEAL6030% off up to ₹75 | Use code SWIGGYIT
Appetizers n Coolers,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowPizzas, Italian, Fast Food, Snacks","Madhapur, Madhapur",Offer50% off up to ₹100 | Use code SWIGGYIT
Blends N shakes,3.3100+ ratings-- MINSDelivery Time₹ 90Cost for two,3.3100+ ratings-- MINSDelivery Time₹ 90Cost for two,100+ ratings,"Beverages, Fast Food, Chinese, Indian, Continental, South Indian, Combo, Desserts, Andhra, Chaat, Cafe, Snacks, Salads, Home Food, Biryani","Retro Drive Inn, Madhapur",Offer20% off up to ₹300 on orders above ₹800 | Use code PARTY30% off up to ₹75 | Use code SWIGGYIT
Meenamma vs Maisamma,4.520+ ratingsClosedFor Delivery₹ 250Cost for two,4.520+ ratingsClosedFor Delivery₹ 250Cost for two,20+ ratings,"Opens next at 6 pm, tomorrowIndian","Madhapur, Madhapur",
The Blender's Cafe,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 8:30 am, tomorrowBeverages, Desserts, Juices","Ravindra Society, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Garam Khichdi,4.250+ ratings-- MINSDelivery Time₹ 300Cost for two,4.250+ ratings-- MINSDelivery Time₹ 300Cost for two,50+ ratings,North Indian,"Madhapur, Madhapur",Offer60% off up to ₹120 | Use code DEAL6030% off up to ₹75 | Use code SWIGGYIT
House of Milkshakes,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowBeverages, Chinese, Fast Food","Madhapur, Madhapur",
Bengali Rannaghor,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,4.0500+ ratings-- MINSDelivery Time₹ 300Cost for two,500+ ratings,"Bengali, Home Food, Indian, Thalis","100 Feet Road, Madhapur",Offer25% off up to ₹125 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
BIRYANI KI SWADH,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,Indian,"Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Stories in a Box,4.2500+ ratings-- MINSDelivery Time₹ 280Cost for two,4.2500+ ratings-- MINSDelivery Time₹ 280Cost for two,500+ ratings,South Indian,"Hitech City, Madhapur",
KHICHDI KAHANI,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,North Indian,"Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Once Upon a Time,--Too Few Ratings-- MINSDelivery Time₹ 1500Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 1500Cost for two,Too Few Ratings,"Hyderabadi, North Indian","Madhapur, Madhapur",
The Belgian Waffle Co.,4.4500+ ratings-- MINSDelivery Time₹ 200Cost for two,4.4500+ ratings-- MINSDelivery Time₹ 200Cost for two,500+ ratings,"Desserts, Beverages","Madhapur, Madhapur",
The Thickshake Factory,4.1100+ ratingsClosedFor Delivery₹ 200Cost for two,4.1100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 10 am, tomorrowBeverages","100 Feet Road, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
Oh! Calcutta,4.3500+ ratings-- MINSDelivery Time₹ 800Cost for two,4.3500+ ratings-- MINSDelivery Time₹ 800Cost for two,500+ ratings,Bengali,"Hitech City Road, Madhapur",Offer60% off up to ₹120 | Use code DEAL6050% off up to ₹100 | Use code TRYNEW
Hyderabad Pizza Company,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 8 am, tomorrowBeverages, Desserts, Ice Cream, Andhra, North Indian, South Indian, Biryani","Madhapur, Madhapur",Offer20% off on orders above ₹249 up to ₹45
Gelatica Gelato - Ice Cream & Sorbet The finest,4.350+ ratings-- MINSDelivery Time₹ 200Cost for two,4.350+ ratings-- MINSDelivery Time₹ 200Cost for two,50+ ratings,Ice Cream,"Madhapur, Madhapur",
Makers of Milkshakes,4.350+ ratings-- MINSDelivery Time₹ 350Cost for two,4.350+ ratings-- MINSDelivery Time₹ 350Cost for two,50+ ratings,"Desserts, Beverages","Kavuri Hills, Madhapur",Offer15% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
Dont Enable - 5 Loaves 2 Fish - Kerala Kitchen,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,--Too Few RatingsClosedFor Delivery₹ 600Cost for two,Too Few Ratings,Restaurant ClosedSeafood,"Viman Nagar, Viman Nagar",Offer40% off up to ₹80 | Use code SWIGGYIT
BAD BURGER,--Too Few Ratings-- MINSDelivery Time₹ 299Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 299Cost for two,Too Few Ratings,Indian,"Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
The Wonton,3.720+ ratings-- MINSDelivery Time₹ 800Cost for two,3.720+ ratings-- MINSDelivery Time₹ 800Cost for two,20+ ratings,"Chinese, Malaysian, Thai","Huda Techno Enclave, Madhapur",
KABAAP,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 200Cost for two,Too Few Ratings,"Tandoor, Indian","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Slurpy Shakes,4.020+ ratings-- MINSDelivery Time₹ 200Cost for two,4.020+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,Beverages,"Madhapur, Madhapur",Offer50% off up to ₹100 | Use code TRYNEW50% off up to ₹100 | Use code SWIGGYIT
Nrs Cafe Nandini,4.1500+ ratings-- MINSDelivery Time₹ 100Cost for two,4.1500+ ratings-- MINSDelivery Time₹ 100Cost for two,500+ ratings,"North Indian, Chinese, South Indian","Hitech City Road, Madhapur",Offer15% off up to ₹100 on orders above ₹400 | Use code JUMBO20% off up to ₹50 | Use code SWIGGYIT
Exotica,4.3100+ ratings-- MINSDelivery Time₹ 1400Cost for two,4.3100+ ratings-- MINSDelivery Time₹ 1400Cost for two,100+ ratings,"Chinese, North Indian, Desserts, Combo, Beverages, Indian, Biryani, Oriental","Madhapur, Madhapur",Offer10% off up to ₹300 on orders above ₹600 | Use code PARTY
Sundae Everyday Ice Creams,3.720+ ratings-- MINSDelivery Time₹ 200Cost for two,3.720+ ratings-- MINSDelivery Time₹ 200Cost for two,20+ ratings,Ice Cream,"Madhapur, Madhapur",Offer40% off up to ₹80 | Use code SWIGGYIT
Natural Scoops,3.850+ ratings-- MINSDelivery Time₹ 150Cost for two,3.850+ ratings-- MINSDelivery Time₹ 150Cost for two,50+ ratings,Desserts,"Madhapur, Madhapur",
New York Slice Pizza,3.650+ ratingsClosedFor Delivery₹ 400Cost for two,3.650+ ratingsClosedFor Delivery₹ 400Cost for two,50+ ratings,"Opens next at 12 noon, tomorrowFast Food, Pizzas, Pastas","Jubilee Hills,near water tank, Kavuri Hills, Madhapur",Offer15% off up to ₹300 on orders above ₹1000 | Use code PARTY20% off up to ₹50 | Use code SWIGGYIT
The Kulcha Kulture,4.0100+ ratings-- MINSDelivery Time₹ 200Cost for two,4.0100+ ratings-- MINSDelivery Time₹ 200Cost for two,100+ ratings,"North Indian, Punjabi, Fast Food","Image Hospitals Lane, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO40% off up to ₹80 | Use code SWIGGYIT
Paratha Vibes,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowFast Food","VIVEKANANDA NAGAR, Madhapur",
Biryani & Pulao Collection by ITC Hotels,4.320+ ratingsClosedFor Delivery₹ 650Cost for two,4.320+ ratingsClosedFor Delivery₹ 650Cost for two,20+ ratings,"Opens next at 7 am, tomorrowBiryani, North Indian, Desserts","Madhapur, Madhapur",Offer25% off up to ₹150 on orders above ₹500 | Use code JUMBO50% off up to ₹100 | Use code SWIGGYIT
Madhapur Kitchen,3.720+ ratingsClosedFor Delivery₹ 200Cost for two,3.720+ ratingsClosedFor Delivery₹ 200Cost for two,20+ ratings,"Restaurant ClosedBiryani, North Indian, Chinese","Madhapur, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
FRUITOHOLIC,4.820+ ratings-- MINSDelivery Time₹ 400Cost for two,4.820+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,"Juices, Salads, Snacks","Madhapur, Madhapur",
RAJA BIRYANI PULAO,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,--Too Few RatingsClosedFor Delivery₹ 400Cost for two,Too Few Ratings,"Opens next at 11:30 am, tomorrowBiryani","Madhapur, Madhapur",
Starbucks Coffee,4.520+ ratings-- MINSDelivery Time₹ 400Cost for two,4.520+ ratings-- MINSDelivery Time₹ 400Cost for two,20+ ratings,Beverages,"InOrbit Mall, Madhapur",Offer30% off up to ₹75 | Use code SWIGGYIT
Pantastic,3.950+ ratings-- MINSDelivery Time₹ 400Cost for two,3.950+ ratings-- MINSDelivery Time₹ 400Cost for two,50+ ratings,"Italian-American, Indian, Continental, Italian","Ayyappa Society, Madhapur",Offer10% off up to ₹300 on orders above ₹800 | Use code PARTY15% off up to ₹45 | Use code SWIGGYIT
THE SPICY GRAND RESTAURANT,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,--Too Few RatingsClosedFor Delivery₹ 300Cost for two,Too Few Ratings,"Opens next at 12 noon, tomorrowBiryani, Chinese, Indian, North Indian","Madhapur, Madhapur",
Ghar Ka Tadka,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,3.9100+ ratings-- MINSDelivery Time₹ 300Cost for two,100+ ratings,Indian,"Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Biryani Guyz,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,--Too Few RatingsClosedFor Delivery₹ 350Cost for two,Too Few Ratings,"Opens next at 10:30 am, tomorrowAndhra, South Indian, Biryani","Madhapur, Madhapur",
Roll Zone,--Too Few Ratings-- MINSDelivery Time₹ 150Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 150Cost for two,Too Few Ratings,Fast Food,"Ayyappa Society, Madhapur",
HYDERABAD HOSTS,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,--Too Few Ratings-- MINSDelivery Time₹ 400Cost for two,Too Few Ratings,"Indian, North Indian, Biryani, Desserts, Beverages","Madhapur, Madhapur",
Yummpy's,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,--Too Few RatingsClosedFor Delivery₹ 200Cost for two,Too Few Ratings,"Opens next at 1 pm, tomorrowBeverages, Chinese, Fast Food","Beside NIFT College, Madhapur, Madhapur",
Rotis-Pure Veg Restaurant,4.350+ ratings-- MINSDelivery Time₹ 800Cost for two,4.350+ ratings-- MINSDelivery Time₹ 800Cost for two,50+ ratings,"North Indian, Chinese, South Indian, Mexican","Huda Techno Enclave, Madhapur",
Maggiz And More,3.820+ ratingsClosedFor Delivery₹ 100Cost for two,3.820+ ratingsClosedFor Delivery₹ 100Cost for two,20+ ratings,"Opens next at 7 am, tomorrowFast Food, Pastas, Beverages","madhapur, Madhapur",Offer20% off on orders above ₹249 up to ₹45
Flavours Of Taj Mahal Hotel,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,--Too Few RatingsClosedFor Delivery₹ 250Cost for two,Too Few Ratings,"Opens next at 11 am, tomorrowNorth Indian, Chinese, Desserts, Continental, South Indian","Hitech city road, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
Santosh Family Dhaba,3.5100+ ratingsClosedFor Delivery₹ 250Cost for two,3.5100+ ratingsClosedFor Delivery₹ 250Cost for two,100+ ratings,"Restaurant ClosedNorth Indian, Biryani, Chinese, Tandoor","Madhapur, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
homely,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,4.11000+ ratings-- MINSDelivery Time₹ 200Cost for two,1000+ ratings,"Home Food, North Indian, South Indian, Beverages, Chettinad, Combo, Desserts, Hyderabadi, Indian, Lucknowi, Maharashtrian, Mangalorean, Punjabi, Rajasthani, Snacks, Sweets, Thalis","100 Feet Road, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
The Bowl Company,4.21000+ ratings-- MINSDelivery Time₹ 300Cost for two,4.21000+ ratings-- MINSDelivery Time₹ 300Cost for two,1000+ ratings,"Continental, North Indian, Pan-Asian, Desserts, American, Asian, Beverages, Biryani, Chinese, Combo, European, Fast Food, Grill, Hyderabadi, Indian, Italian, Kebabs, Lucknowi, Mediterranean, Mexican, Mughlai, Oriental, Pas","Madhapur, Madhapur",Offer30% off up to ₹150 on orders above ₹400 | Use code JUMBO30% off up to ₹65 | Use code SWIGGYIT
Chicken Shawarma Hub,3.5100+ ratingsClosedFor Delivery₹ 200Cost for two,3.5100+ ratingsClosedFor Delivery₹ 200Cost for two,100+ ratings,"Opens next at 11 am, tomorrowArabian, Fast Food","Chandanagar, Ayyapa society, Madhapur",Offer20% off up to ₹100 on orders above ₹400 | Use code JUMBO30% off up to ₹75 | Use code SWIGGYIT
